Cargador Portatil para Smartphone Sony CP-VL;fisico;Pre-cargado para cargar Smartphones y/o Tablets al instante.Batería de polímero de litio con alta capacidad de 1400mAh (fabricada por Sony).Hasta 1 cargas a tu Smartphone en cualquier lugar.Corriente de salida de 1.5A para cargar rápido.Diseño ultra delgado en aluminio.Compatible con Xperia, iPhone, BlackBerry, GALAXY & más.Luces LED indican estado de carga y batería remanente.Incluye cable USB/Micro-USB.Fácil de usar 1. Conecta tu Smartphone u otro dispositivo mediante el cable USB/Micro-USB. 2. Carga donde quieras, cuando quieras. 3. Recarga tu CP-V3 Ideal para estos dispositivos portátiles;540;30;Sony
Farol Spinit Multi Charger Solar;fisico;"Recargable: Energía solar, Dinamo, 12 Volt
    6 LEDS de alta potencia y bajo consumo
    Terminación goma laqueada
    Tamaño compacto, altura: 22 cm";570;20;Baraldo
Conservadora Lunchera Capacidad 5 Lts;fisico;Medidas: 290 X 180 X 180. Totalmente Hermetica. Elevada resistencia.Poliestileno expandido en todas sus superficies.Posee aislante termico en su tapa y evita que el sol altere la temperatura interna.;570;20;Kiero
Mochila Montagne Modelo Yoda;fisico;"Capacidad: 8 Lts.Material: Poliéster 100% 600Dx600D con recubrimiento PU.Descripción: Acceso superior.Bolsillo fronRecibirás tu premio en el domicilio que nos indiques dentro de los próximos 15 días hábiles. Para enterarte de todas las novedades de Club Personal ingresá a Actualizá tus Datos y completá tu e-mail.
tal.Correas regulables.";580;20;Montagne
Mochila PlayStation;fisico;"Mochila de 18"" estampada y bordada PSP, con un bolsillo amplio frontal y dos laterales con cierre.";590;20;Solci
 Auriculares Sony Modelo MDR-ZX110;fisico;"Almohadillas cómodas, que permiten escuchar música por horas.
Controladores que ofrecen un amplio rango de frecuencia para escuchar con nitidez.
Soporte para bajos de excelente nivel.
Al envolver tus oídos, las Almohadillas canceladoras de ruido, generan una apreciación superior al sonido, sin estresar tus oídos a altos niveles de volumen.
";590;20;Sony
Auriculares Sony Modelo MDR-ZX310;fisico;"Caracteristicas Almohadillas cómodas, que permiten escuchar música por horas. Controladores que ofrecen un amplio rango de frecuencia para escuchar con nitidez. Soporte para bajos de excelente nivel. Al envolver tus oídos, las Almohadillas canceladoras de ruido, generan una apreciación superior al sonido, sin estresar tus oídos a altos niveles de volumen.
";710;30;Sony
Parlante Portátil Bluetooth Noganet Mod P29BT;fisico;"Recibe sonido vía Bluetooth
También para Celulares, MP3/MP4, CD Player, etc. 3W de Potencia. Controles en la parte superior. Entrada Auxiliar miniplug 3.5 Stereo (cable incluido).Alimentación DC-5V por mini USB (cable incluido). Funciona con Batería de Litio";790;30;Noganet
Farol de noche LED;fisico;Farol de aluminio. Descripción: Rango de 8 mts. aprox.Tiempo de trabajo 600 min.Funciona con 3 pilas AA (no incluídas) ;820;20;Montagne
Parlante Noganet Modelo Jumper;fisico;25 de potencia total. Power switch ON/OFF. Entrada auxiliar de audio. Control de volumen. Control de bajos reforzados. Salida de auriculares. Entrada de microfono. Medidas: subwoofer 13,5 x 20,3 x 19 cm. Tweeters 7,5 x 5,05 x 16,65 cm;830;30;Noganet
Parlantes Inalámbrico Bluetooth Philips BT50B;fisico;Parlantes Inalámbrico Bluetooth.Micrófono incorporado.Tecnología NFC .Función MultiPair para asociar dos dispositivos Bluetooth al mismo tiempo.Control de volúmen incorporado.Batería recargable (10 hrs.)Potencia 10W Stereo.Entrada de audio (3.5mm).Alcance Bluetooth: 10 metros;880;30;Philips
Gift Card Montagne $750;fisico;Valor nominal 750 pesos argentinos. Recibirás la Gift Card en tu domicilio sin cargo. Sólo válida para adquirir productos marca MONTAGNE. No acumulables con otras promociones vigentes.No se puede canjear la gift card por dinero.La gift card se debe consumir en su totalidad (no se hacen notas de crédito).Queda fuera de la promoción el calzado.Se puede canjear en locales de Outlet y de primera. Vigencia de las Gift 90 días hábiles de recibida.;890;50;Montagne
Auriculares y Parlantes Noganet Modelo NG-A10;fisico;Auriculares. Control de Volumen, Play/Pausa, Anterior/Siguiente Canción, FM Tuner (todo en un sólo control). Botón Modo AURICULAR / PARLANTE (3W de Potencia). Botón EQ: brinda la opción de diferentes ecualizaciones. Lector de Tarjeta Micro SD de hasta 16GB. Función Radio FM: se activa automáticamente cuando no está colocada la Tarjeta. Entrada Auxiliar para usar con PC, MP3 Player, CD Player, por cable miniplug 3.5 mm Stereo (incluido). Batería interna de Litio;920;30;Noganet
Tablet Argos EUTB-704;fisico;"7"" Tablet with capacitive multi-touch screen G+P, RAM: 512mb DDR3, 4GB storage, w/Cortex A7 Allwiner A23 processor, Frequency: 1.5Ghz, Resolution: 800x480/16:9, Operating System: Android 4.2,WI-FI, Built in speaker & microphone, Front camera: 0.3VGA, Back camera 0.3VGA, I/O Ports: TF slot up to 32GB, Mini USB, audio out, USB Adaptor 230V PLUG N, EUROCASE Model: EUTB-704 ARGOS DUAL CAM II.Precio pago contado.";940;4;Acegame
Gift Card Netshoes $800;fisico;"Recibirás la Gift Card en tu domicilio 1.Ingresá en www.netshoes.com.ar. 2. Registrate con tus datos personales. 3. Seleccioná los productos que quieras comprar. 4. Cuando tengas el carrito listo, ingresá tu CÓDIGO en la opción CUPÓN.5. Verifica que  se haya acreditado con éxito. El valor del código se descontará del valor total de carrito. Si existiera una diferencia en el valor, continuá con el proceso de pago. Si tenés dudas, contactanos al 0810-444-6387.
";1000;50;Netshoes
Parlante Bluetooth Bitbox Lite;fisico;Parlante portátil inalámbrico de alta fidelidad.Potencia Total : 2W Compatible con Bluetooth 4.0.Tecnología NFC (Near Field Communication).Alcance operacional: 8 a 10 mts - Manos Libres Micrófono sensible.incorporado - Terminación en Goma.Hasta 10 horas de reproducción continua.Batería: Lithio-Ion, 400mAh.Tiempo de carga: 2 horas - Batería en base de carga: 1000mAh.Aviso de Batería Baja y Ahorro de Energía.Impedancia: 45mm, 4&#937, - Puerto de Carga: Micro USB.Compatible con: Win XP- Vista- Win7- Mac- IOS - Android;980;27;Acegame
Silla Director ;fisico;Silla director tamaño mediano. Soporta hasta 113 Kg. El respaldo de malla permite que la brisa circule en los dias de calor. El marco de acero fuerte se asegura que siempre tenga un buen asiento temporada tras temporada. Para el transporte la silla se pliega facilmente en una bolsa.;990;10;Kiero
Silla Plegable Scorsese;fisico;Silla plegable con apoyabrazos, incluye portavaso de red y bolsillo trasero desmontable. Confeccionada en poliéster, posee una estructura metálica con protección antideslizante. Incluye bolsa con manija para transporte. Peso: 2,4 kilos. Medidas: 75 cm de altura x 50 cm de ancho. Altura desde el piso al asiento 35 cm.  Medidas del asiento: 45 x 52 cm.;1060;9;Zecat
Sillones XL;fisico;Sillon Director tamaño XL, confeccionado con cordura de alta resisistencia y con pintura electroestatica en polvo para mayor duración. Lavable y plegable.;1140;10;Press-net
Silla Director Baja New;fisico;"Material: Estructura de acero de 16 x 0,8mm. Características: Patas con protección antideslizante. Porta vaso.Apoya brazos.Correa de transporte incluida. Medidas de plegado: Alto: 83 cms.Ancho: 15 cms.Profundidad: 12 cms.
";1150;10;Montagne
Caja de Herramientas Oval;fisico;8 llaves allen, 2 destornilladores, 1 pinza, 8 llaves tubo, un alargador, una llave manual para tubo, puntas destornillador varias,1 martillo de carpintero, 1 caja con clavos y una trincheta. Origen: China;1160;22;Argenprom
Escalera de Cocina;fisico;Escalera metalica de cocina de 2 escalones metálicos con borde antideslizante. Medidas: 39,5 x 54,5 x 82 cms. ;1300;4;Argenprom
 Auricular Sony Modelo MDR-XB450;fisico;"Auriculares diseñados para alcanzar los mejores bajos. 
CARACTERISTICAS
Bajos Potentes
Controlador de 30mm y la nueva tecnología Advanced Direct Vibe Structure.
Diseño plegable y plano. 
Almohadillas de cuero muy suaves y cómodas.
Cable en forma de Y para mejorar adaptación y uso.
";1420;27;Sony
Parlante Portátil Bluetooth Noganet Mod  NGA-P26;fisico;"Parlante Bluetooth manos libres. bateria litio. lata 8w
";1490;30;Noganet
Bolso Trango I New Negro;fisico;Modelo Trango. Confeccionado en 600D x 600D + Ripstop. Dos bolsillos laterales con cierre. Medidas: 47cm x  25 cm x 25 cm. Origen: Chiina.;1690;25;Montagne
Noga Pro HD ;fisico;"Action Cam Noga Pro 720P HD te brinda el poder de una Action Cam con calidad profesional y una versatilidad sin igual para captar cualquier actividad por más extrema o increíble que sea. Con Display de 1.5 pulgadas integrado, Carcaza Resistente al Agua, Protector trasero, Soportes para Casco y Barra, y gran variedad de accesorios para acoplamiento.
";1770;5;Noganet
Gift Card Montagne $1500;fisico;Valor nominal 1500 pesos argentinos. Recibirás la Gift Card en tu domicilio sin cargo. Sólo válida para adquirir productos marca MONTAGNE. No acumulables con otras promociones vigentes.No se puede canjear la gift card por dinero.La gift card se debe consumir en su totalidad (no se hacen notas de crédito).Queda fuera de la promoción el calzado.Se puede canjear en locales de Outlet y de primera. Vigencia de las Gift 90 días hábiles de recibida.;1770;50;Montagne
Gift Card Netshoes $1600;fisico;"Recibirás la Gift Card en tu domicilio 1.Ingresá en www.netshoes.com.ar. 2. Registrate con tus datos personales. 3. Seleccioná los productos que quieras comprar. 4. Cuando tengas el carrito listo, ingresá tu CÓDIGO en la opción CUPÓN.5. Verifica que  se haya acreditado con éxito. El valor del código se descontará del valor total de carrito. Si existiera una diferencia en el valor, continuá con el proceso de pago. Si tenés dudas, contactanos al 0810-444-6387.
";1990;50;Netshoes
Portarretratos Digital Noganet;fisico;"Portarretrato Digital Multimedia
Pantalla de 8 Pulgadas
Resolución de 800x600
Control Remoto
Lector de Memorias SD/MMC/MS
Parlantes stereos incluidos
Soporta USB 2.0
Reloj y Alarma
Reproduce Audio y Video (MPG4/AVI/MP3/WMA)
";2240;17;Noganet
Gift Card Montagne $2000;fisico;Valor nominal 2000 pesos argentinos. Recibirás la Gift Card en tu domicilio sin cargo. Sólo válida para adquirir productos marca MONTAGNE. No acumulables con otras promociones vigentes.No se puede canjear la gift card por dinero.La gift card se debe consumir en su totalidad (no se hacen notas de crédito).Queda fuera de la promoción el calzado.Se puede canjear en locales de Outlet y de primera. Vigencia de las Gift 90 días hábiles de recibida.;2360;30;Montagne
Gift Card Netshoes $2200;fisico;"Recibirás la Gift Card en tu domicilio 1.Ingresá en www.netshoes.com.ar. 2. Registrate con tus datos personales. 3. Seleccioná los productos que quieras comprar. 4. Cuando tengas el carrito listo, ingresá tu CÓDIGO en la opción CUPÓN.5. Verifica que  se haya acreditado con éxito. El valor del código se descontará del valor total de carrito. Si existiera una diferencia en el valor, continuá con el proceso de pago. Si tenés dudas, contactanos al 0810-444-6387.
";2740;30;Netshoes
Tablet Tabi EUTB-I748;fisico;"EUTB-I748 TABI - Funda de Silicona  - Adaptador AC - Cable USB - Cable OTG – Stickers  Procesador Intel® Atom™  Z3735G (1.33 GHz)  AndroidTM 4.4 KitKat   RAM 1GB DDR3 Memoria Flash de 16 GB , Pantalla táctil capacitiva de 7” , Resolución 1024x600 pixeles ,Relación de aspecto 16:9, Cámara frontal de 0.3MP, Cámara trasera de 2MP * Bluetooth® , Lector de tarjetas TF hasta 32GB, Wi-Fi IEEE 802.11b/g/n integrado, Parlantes y micrófono incorporados, Acelerómetro, giroscopio, Multilenguaje, Entradas: Micro USB, Auriculares 3.5 mm,
Tarjeta TF, Batería: 2500mAh/3.7V, Adaptador de corriente: Salida DC 5V.
Precio pago contado. ";3070;4;Acegame
Escalera de Aluminio Multiple;fisico;Material: Aluminio. 4 x 3 escalones. Hasta 150 Kg. Escalones: 28 cm. ;3420;11;Nuevo Milenio
Gift Card Falabella $1100;digital;Valor nominal 1100 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;1370;200;Falabella
Gift Card Falabella $1600;digital;Valor nominal 1600 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;1990;200;Falabella
Gift Card Falabella $2100;digital;Valor nominal 2100 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;2620;175;Falabella
Gift Card Falabella $2600;digital;Valor nominal 2600 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;3240;175;Falabella
Gift Card Falabella $3000;digital;Valor nominal 3000 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;3740;100;Falabella
Gift Card Falabella $4000;digital;Valor nominal 4000 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal de Falabella área de  Atención al Cliente, y retirar tu Gift. Podrás utilizarla en ese mismo momento, o bien cuando vos desees. ;4980;50;Falabella
Gift Card Fravega $1500;digital;"Valor nominal 1500 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";1870;250;Fravega
Gift Card Fravega $2200;digital;"Valor nominal 2200 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";2740;250;Fravega
Gift Card Fravega $2800;digital;"Valor nominal 2800 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";3490;150;Fravega
Gift Card Fravega $3300;digital;"Valor nominal 3300 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";4110;165;Fravega
Gift Card Fravega $4200;digital;"Valor nominal 4200 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";5230;100;Fravega
Gift Card Fravega $5000;digital;"Valor nominal 5000 pesos argentinos. Podrás acercarte a las 120 hs hábiles de haber realizado el canje, con el documento registrado en Club, a cualquier sucursal y podrás utilizarlo en ese mismo momento. 
";6230;100;Fravega
